name,tag,gen,format,category,item,ability,nature,move1,move2,move3,move4,hp_ev,atk_ev,def_ev,spa_ev,spd_ev,spe_ev,hp_iv,atk_iv,def_iv,spa_iv,spd_iv,spe_iv,teratypes
Poliwrath,regular,4,uu,singles,Leftovers,,Adamant,Bulk Up,Waterfall,Ice Punch/Brick Break/Return,Hypnosis/Encore/Substitute,252,252,0,0,0,4,31,31,31,31,31,31,
Poliwrath,regular,4,uu,singles,Leftovers|Life Orb,,Impish,Rest,Sleep Talk,Waterfall,Brick Break/Rock Slide/Ice Punch,252,4,252,0,0,0,31,31,31,31,31,31,
Poliwrath,regular,4,uu,singles,Salac Berry,,Jolly,Belly Drum,Substitute,Waterfall,Return,4,252,0,0,0,252,31,31,31,31,31,31,
Poliwrath,regular,4,uu,singles,Leftovers,,Careful,Waterfall,Bulk Up,Rest,Sleep Talk,252,4,0,0,252,0,31,31,31,31,31,31,
Poliwrath,regular,4,nu,singles,Leftovers,,Adamant,Waterfall,Focus Punch/Brick Break,Substitute,Toxic/Encore,120,252,0,0,0,136,31,31,31,31,31,31,
Poliwrath,regular,4,nu,singles,Leftovers,Water Absorb|Damp,Modest,Surf/Hydro Pump,Vacuum Wave/Focus Blast,Ice Beam,Toxic,120,0,0,252,0,136,31,31,31,31,31,31,
Alakazam,regular,4,uu,singles,Choice Specs,,Timid|Modest,Psychic,Signal Beam/Grass Knot,Focus Blast,Trick/Shadow Ball/Grass Knot,4,0,0,252,0,252,31,31,31,31,31,31,
Alakazam,regular,4,uu,singles,Life Orb,,Timid,Substitute,Psychic,Focus Blast,Shadow Ball/Signal Beam,4,0,0,252,0,252,31,31,31,31,31,31,
Alakazam,regular,4,uu,singles,Life Orb,,Timid,Calm Mind,Psychic,Focus Blast,Shadow Ball/Signal Beam/Grass Knot,4,0,0,252,0,252,31,31,31,31,31,31,
Alakazam,regular,4,uu,singles,Leftovers|Life Orb,,Timid|Modest,Calm Mind,Encore,Psychic,Signal Beam/Focus Blast,4,0,0,252,0,252,31,31,31,31,31,31,
Alakazam,regular,4,uu,singles,Leftovers,,Timid,Substitute,Encore,Psychic,Signal Beam/Focus Blast,40,0,0,252,0,216,31,31,31,31,31,31,
Alakazam,regular,4,uu,singles,Focus Sash,Inner Focus,Modest|Timid,Taunt,Psychic,Focus Blast/Counter,Signal Beam,4,0,0,252,0,252,31,31,31,31,31,31,
Alakazam,regular,4,uu,singles,Light Clay,Inner Focus,Timid,Reflect,Light Screen,Encore,Taunt/Psychic,252,0,40,0,0,216,31,31,31,31,31,31,
Alakazam,regular,4,ou,singles,Life Orb|Leftovers,,Timid,Substitute,Psychic,Focus Blast,Hidden Power Fire/Signal Beam,4,0,0,252,0,252,31,31,31,31,31,31,
Victreebel,regular,4,uu,singles,Life Orb,,Modest,Solar Beam,Weather Ball,Sleep Powder,Hidden Power Rock,28,0,0,252,0,228,31,31,31,31,31,31,
Victreebel,regular,4,uu,singles,Life Orb,,Adamant|Naughty,Swords Dance,Leaf Blade,Sucker Punch/Return,Sleep Powder/Weather Ball,104,252,0,0,0,152,31,31,31,31,31,31,
Victreebel,regular,4,pu,singles,Life Orb,,Jolly,Swords Dance,Leaf Blade,Sucker Punch,Return/Sleep Powder,0,252,0,0,4,252,31,31,31,31,31,31,
Victreebel,regular,4,pu,singles,Life Orb,,Timid,Sleep Powder/Sucker Punch,Hidden Power Fire,Sludge Bomb,Energy Ball/Leaf Blade,0,0,0,252,4,252,31,2,31,30,31,30,
Victreebel,weather,4,pu,singles,Life Orb,,Timid,Sunny Day/Sleep Powder,Solar Beam,Sludge Bomb,Weather Ball,0,0,0,252,4,252,31,0,31,31,31,31,
Victreebel,regular,4,pu,singles,Choice Scarf,,Hasty,Leaf Storm,Leaf Blade,Sludge Bomb,Encore/Sleep Powder,0,4,0,252,0,252,31,31,31,31,31,31,
Victreebel,regular,4,nu,singles,Life Orb,,Timid|Modest,Sleep Powder,Solar Beam,Weather Ball,Sludge Bomb/Hidden Power Rock,0,0,4,252,0,252,31,31,31,31,31,31,
Victreebel,regular,4,nu,singles,Life Orb,,Modest|Rash,Sleep Powder,Leaf Storm,Sludge Bomb,Morning Sun/Sucker Punch,0,0,4,252,0,252,31,31,31,31,31,31,
Golem,regular,4,uu,singles,Focus Sash,,Adamant,Stone Edge/Rock Blast,Earthquake,Explosion,Sucker Punch,12,252,0,0,0,244,31,31,31,31,31,31,
Golem,regular,4,uu,singles,Life Orb|Leftovers,,Adamant,Substitute,Explosion,Earthquake,Stone Edge/Sucker Punch,212,252,0,0,0,44,31,31,31,31,31,31,
Golem,regular,4,uu,singles,Choice Band|Life Orb,,Jolly|Adamant,Earthquake,Stone Edge,Double-Edge/Sucker Punch,Explosion,0,252,4,0,0,252,31,31,31,31,31,31,
Golem,regular,4,nu,singles,Chople Berry|Custap Berry,,Adamant,Earthquake,Rock Blast,Sucker Punch,Stealth Rock,4,252,0,0,0,252,31,31,31,31,31,31,
Mr. Mime,regular,4,uu,singles,Leftovers,,Timid,Nasty Plot/Calm Mind,Baton Pass,Taunt/Substitute/Encore,Psychic/Charge Beam,252,0,0,0,4,252,31,31,31,31,31,31,
Mr. Mime,regular,4,uu,singles,Choice Scarf|Choice Specs,Filter,Timid,Trick,Psychic,Thunderbolt,Focus Blast/Baton Pass/Shadow Ball,4,0,0,252,0,252,31,31,31,31,31,31,
Mr. Mime,regular,4,uu,singles,Life Orb,,Timid,Nasty Plot,Psychic,Thunderbolt,Encore/Focus Blast/Baton Pass,4,0,0,252,0,252,31,31,31,31,31,31,
Articuno,regular,4,uu,singles,Leftovers,,Timid,Substitute,Roost,Ice Beam,Toxic,252,0,0,0,32,224,31,31,31,31,31,31,
Articuno,regular,4,uu,singles,Leftovers,,Calm,Ice Beam,Roost,Roar,Heal Bell/Toxic,252,0,0,0,252,4,31,31,31,31,31,31,
Articuno,regular,4,nu,singles,Leftovers,,Calm,Ice Beam,Toxic,Heal Bell/Substitute/Haze/Roar,Roost,248,0,108,0,56,96,31,31,31,31,31,31,
Articuno,regular,4,nu,singles,Choice Specs,,Modest,Ice Beam,Blizzard,U-turn,Hidden Power Grass,0,0,0,252,4,252,31,31,31,31,31,31,
Zapdos,regular,4,ou,singles,Leftovers,,Bold,Thunderbolt/Discharge,Roost,Hidden Power Ice/Hidden Power Grass,U-turn/Heat Wave/Toxic,248,0,228,0,0,32,31,31,31,31,31,31,
Zapdos,regular,4,ou,singles,Leftovers,,Timid,Substitute,Roost,Thunderbolt,Hidden Power Ice/Toxic,192,0,64,0,0,252,31,31,31,31,31,31,
Zapdos,regular,4,ou,singles,Choice Specs,,Modest|Timid,Thunderbolt,Hidden Power Flying/Hidden Power Ice,Heat Wave/Sleep Talk,U-turn,4,0,0,252,0,252,31,31,31,31,31,31,
Zapdos,regular,4,ou,singles,Leftovers,,Calm,Thunderbolt/Discharge,Hidden Power Ice,Heat Wave/Roar,Roost,248,0,0,0,228,32,31,31,31,31,31,31,
Zapdos,regular,4,ou,singles,Leftovers|Life Orb,,Modest,Agility,Thunderbolt,Hidden Power Ice/Hidden Power Flying,Roost/Heat Wave,112,0,0,252,0,144,31,31,31,31,31,31,
Zapdos,regular,4,doublesou,doubles,Sitrus Berry,,Modest,Thunderbolt,Hidden Power Ice/Hidden Power Grass/Heat Wave,Heat Wave/Roost,Detect,248,0,0,128,24,108,31,31,31,31,31,31,
Zapdos,regular,4,doublesou,doubles,Choice Scarf,,Modest,Thunderbolt,Heat Wave,Hidden Power Ice,U-turn,0,0,0,252,4,252,31,2,30,31,31,31,
Moltres,regular,4,uu,singles,Life Orb|Leftovers,,Modest|Timid,Fire Blast,Air Slash,Hidden Power Grass,Roost,0,0,0,252,4,252,31,2,31,31,31,31,
