category,rank,name,count,pct_of_builds,move_type,move_category
MOVE,49,Psyshock,516,3.08,Psychic,Special
MOVE,50,Outrage,477,2.85,Dragon,Physical
MOVE,51,Dragon Dance,443,2.65,Dragon,Status
MOVE,52,Pursuit,406,2.42,Dark,Physical
MOVE,53,Dark Pulse,399,2.38,Dark,Special
MOVE,54,Flare Blitz,391,2.34,Fire,Physical
MOVE,55,Grass Knot,385,2.30,Grass,Special
MOVE,56,Waterfall,380,2.27,Water,Physical
MOVE,57,Brave Bird,377,2.25,Flying,Physical
MOVE,58,Drain Punch,376,2.25,Fighting,Physical
MOVE,59,Hidden Power Grass,375,2.24,Grass,Special
MOVE,60,Explosion,351,2.10,Normal,Physical
MOVE,61,Heat Wave,348,2.08,Fire,Special
MOVE,62,Extreme Speed,348,2.08,Normal,Physical
MOVE,63,Fake Out,346,2.07,Normal,Physical
MOVE,64,Fire Punch,343,2.05,Fire,Physical
MOVE,65,Trick Room,331,1.98,Psychic,Status
MOVE,66,Thunder,330,1.97,Electric,Special
MOVE,67,Sleep Talk,329,1.96,Normal,Status
MOVE,68,Overheat,328,1.96,Fire,Special
MOVE,69,Synthesis,325,1.94,Grass,Status
MOVE,70,Dazzling Gleam,325,1.94,Fairy,Special
MOVE,71,Hurricane,321,1.92,Flying,Special
MOVE,72,Flash Cannon,318,1.90,Steel,Special
MOVE,73,Energy Ball,315,1.88,Grass,Special
MOVE,74,Leech Seed,315,1.88,Grass,Status
MOVE,75,Body Press,309,1.85,Fighting,Physical
MOVE,76,Aqua Jet,305,1.82,Water,Physical
MOVE,77,Tera Blast,305,1.82,Normal,Special
MOVE,78,Poison Jab,302,1.80,Poison,Physical
MOVE,79,Low Kick,289,1.73,Fighting,Physical
MOVE,80,Toxic Spikes,288,1.72,Poison,Status
MOVE,81,Roar,287,1.71,Normal,Status
MOVE,82,Bulk Up,282,1.68,Fighting,Status
MOVE,83,Leaf Storm,279,1.67,Grass,Special
MOVE,84,Play Rough,272,1.62,Fairy,Physical
MOVE,85,Ice Shard,269,1.61,Ice,Physical
MOVE,86,Gunk Shot,265,1.58,Poison,Physical
MOVE,87,Air Slash,263,1.57,Flying,Special
MOVE,88,Sludge Wave,258,1.54,Poison,Special
MOVE,89,Sleep Powder,251,1.50,Grass,Status
MOVE,90,Foul Play,250,1.49,Dark,Physical
MOVE,91,Pain Split,248,1.48,Normal,Status
MOVE,92,Zen Headbutt,247,1.48,Psychic,Physical
MOVE,93,Shadow Sneak,247,1.48,Ghost,Physical
MOVE,94,Heavy Slam,247,1.48,Steel,Physical
MOVE,95,Hidden Power Ground,242,1.45,Ground,Special
MOVE,96,Double-Edge,242,1.45,Normal,Physical
MOVE,97,Power Whip,241,1.44,Grass,Physical
MOVE,98,Heal Bell,232,1.39,Normal,Status
MOVE,99,Bullet Punch,231,1.38,Steel,Physical
MOVE,100,Reflect,227,1.36,Psychic,Status
ABILITY,1,Regenerator,471,2.81,,
ABILITY,2,Magic Guard,251,1.50,,
ABILITY,3,Sturdy,172,1.03,,
ABILITY,4,Technician,170,1.02,,
ABILITY,5,Mold Breaker,158,0.94,,
ABILITY,6,Sheer Force,154,0.92,,
ABILITY,7,Intimidate,129,0.77,,
ABILITY,8,Prankster,128,0.76,,
ABILITY,9,Magic Bounce,118,0.70,,
ABILITY,10,Unaware,113,0.67,,
ABILITY,11,Rough Skin,113,0.67,,
ABILITY,12,Adaptability,110,0.66,,
ABILITY,13,Thick Fat,102,0.61,,
ABILITY,14,Poison Heal,102,0.61,,
ABILITY,15,Infiltrator,101,0.60,,
ABILITY,16,Water Absorb,100,0.60,,
ABILITY,17,Rock Head,100,0.60,,
ABILITY,18,Speed Boost,94,0.56,,
ABILITY,19,Multiscale,94,0.56,,
ABILITY,20,Huge Power,88,0.53,,
ABILITY,21,Moxie,86,0.51,,
ABILITY,22,Unburden,85,0.51,,
ABILITY,23,Guts,84,0.50,,
ABILITY,24,Defiant,81,0.48,,
ABILITY,25,Solid Rock,80,0.48,,
ABILITY,26,Protean,79,0.47,,
ABILITY,27,Inner Focus,77,0.46,,
ABILITY,28,Lightning Rod,77,0.46,,
ABILITY,29,Grassy Surge,75,0.45,,
ABILITY,30,Tinted Lens,72,0.43,,
ABILITY,31,Skill Link,72,0.43,,
ABILITY,32,Contrary,70,0.42,,
ABILITY,33,Storm Drain,68,0.41,,
ABILITY,34,Chlorophyll,68,0.41,,
ABILITY,35,Trace,67,0.40,,
ABILITY,36,Weak Armor,65,0.39,,
ABILITY,37,Flame Body,64,0.38,,
ABILITY,38,Analytic,63,0.38,,
ABILITY,39,Overcoat,63,0.38,,
ABILITY,40,Dry Skin,61,0.36,,
ABILITY,41,Drizzle,61,0.36,,
ABILITY,42,Flash Fire,60,0.36,,
ABILITY,43,Frisk,60,0.36,,
ABILITY,44,Snow Warning,59,0.35,,
ABILITY,45,Serene Grace,55,0.33,,
ABILITY,46,Sap Sipper,55,0.33,,
ABILITY,47,Iron Fist,54,0.32,,
ABILITY,48,Scrappy,53,0.32,,
ABILITY,49,Drought,52,0.31,,
ABILITY,50,Static,51,0.30,,
ITEM,1,Leftovers,2652,15.84,,
ITEM,2,Life Orb,2044,12.21,,
ITEM,3,Choice Scarf,1353,8.08,,
ITEM,4,Eviolite,1014,6.06,,
ITEM,5,Choice Band,993,5.93,,
ITEM,6,Heavy-Duty Boots,956,5.71,,
ITEM,7,Choice Specs,800,4.78,,
ITEM,8,Focus Sash,688,4.11,,
ITEM,9,Assault Vest,429,2.56,,
ITEM,10,Rocky Helmet,337,2.01,,
ITEM,11,Sitrus Berry,271,1.62,,
ITEM,12,Black Sludge,205,1.22,,
ITEM,13,Lum Berry,187,1.12,,
ITEM,14,Light Clay,158,0.94,,
ITEM,15,Toxic Orb,150,0.90,,
ITEM,16,Weakness Policy,119,0.71,,
ITEM,17,Booster Energy,119,0.71,,
ITEM,18,Oran Berry,114,0.68,,
ITEM,19,Berry Juice,114,0.68,,
ITEM,20,Air Balloon,102,0.61,,
ITEM,21,Colbur Berry,98,0.59,,
ITEM,22,Custap Berry,97,0.58,,
ITEM,23,Power Herb,90,0.54,,
ITEM,24,Flame Orb,85,0.51,,
ITEM,25,Expert Belt,75,0.45,,
ITEM,26,Normalium Z,66,0.39,,
ITEM,27,Fightinium Z,66,0.39,,
ITEM,28,Damp Rock,64,0.38,,
ITEM,29,Mental Herb,62,0.37,,
ITEM,30,Flyinium Z,62,0.37,,
ITEM,31,Heat Rock,61,0.36,,
ITEM,32,Shuca Berry,61,0.36,,
ITEM,33,Covert Cloak,50,0.30,,
ITEM,34,Electrium Z,48,0.29,,
ITEM,35,Waterium Z,48,0.29,,
ITEM,36,Safety Goggles,47,0.28,,
ITEM,37,Chople Berry,45,0.27,,
ITEM,38,Chesto Berry,43,0.26,,
ITEM,39,Loaded Dice,43,0.26,,
ITEM,40,Earth Plate,38,0.23,,
ITEM,41,Silk Scarf,38,0.23,,
ITEM,42,Rockium Z,38,0.23,,
ITEM,43,White Herb,37,0.22,,
ITEM,44,Salac Berry,36,0.22,,
ITEM,45,Flying Gem,36,0.22,,
ITEM,46,Groundium Z,36,0.22,,
ITEM,47,Grassy Seed,36,0.22,,
ITEM,48,Black Glasses,35,0.21,,
ITEM,49,Pixie Plate,35,0.21,,
ITEM,50,Red Orb,35,0.21,,
