section,subcategory,rank,name,count,pct_of_builds,move_type,move_category,notes
TOP_ABILITIES,,6,Sheer Force,154,0.92,,,Blank abilities omitted from this section
TOP_ABILITIES,,7,Intimidate,129,0.77,,,Blank abilities omitted from this section
TOP_ABILITIES,,8,Prankster,128,0.76,,,Blank abilities omitted from this section
TOP_ABILITIES,,9,Magic Bounce,118,0.70,,,Blank abilities omitted from this section
TOP_ABILITIES,,10,Unaware,113,0.67,,,Blank abilities omitted from this section
TOP_ABILITIES,,11,Rough Skin,113,0.67,,,Blank abilities omitted from this section
TOP_ABILITIES,,12,Adaptability,110,0.66,,,Blank abilities omitted from this section
TOP_ABILITIES,,13,Thick Fat,102,0.61,,,Blank abilities omitted from this section
TOP_ABILITIES,,14,Poison Heal,102,0.61,,,Blank abilities omitted from this section
TOP_ABILITIES,,15,Infiltrator,101,0.60,,,Blank abilities omitted from this section
TOP_ABILITIES,,16,Water Absorb,100,0.60,,,Blank abilities omitted from this section
TOP_ABILITIES,,17,Rock Head,100,0.60,,,Blank abilities omitted from this section
TOP_ABILITIES,,18,Speed Boost,94,0.56,,,Blank abilities omitted from this section
TOP_ABILITIES,,19,Multiscale,94,0.56,,,Blank abilities omitted from this section
TOP_ABILITIES,,20,Huge Power,88,0.53,,,Blank abilities omitted from this section
TOP_ABILITIES,,21,Moxie,86,0.51,,,Blank abilities omitted from this section
TOP_ABILITIES,,22,Unburden,85,0.51,,,Blank abilities omitted from this section
TOP_ABILITIES,,23,Guts,84,0.50,,,Blank abilities omitted from this section
TOP_ABILITIES,,24,Defiant,81,0.48,,,Blank abilities omitted from this section
TOP_ABILITIES,,25,Solid Rock,80,0.48,,,Blank abilities omitted from this section
TOP_ABILITIES,,26,Protean,79,0.47,,,Blank abilities omitted from this section
TOP_ABILITIES,,27,Inner Focus,77,0.46,,,Blank abilities omitted from this section
TOP_ABILITIES,,28,Lightning Rod,77,0.46,,,Blank abilities omitted from this section
TOP_ABILITIES,,29,Grassy Surge,75,0.45,,,Blank abilities omitted from this section
TOP_ABILITIES,,30,Tinted Lens,72,0.43,,,Blank abilities omitted from this section
TOP_ABILITIES,,31,Skill Link,72,0.43,,,Blank abilities omitted from this section
TOP_ABILITIES,,32,Contrary,70,0.42,,,Blank abilities omitted from this section
TOP_ABILITIES,,33,Storm Drain,68,0.41,,,Blank abilities omitted from this section
TOP_ABILITIES,,34,Chlorophyll,68,0.41,,,Blank abilities omitted from this section
TOP_ABILITIES,,35,Trace,67,0.40,,,Blank abilities omitted from this section
TOP_ABILITIES,,36,Weak Armor,65,0.39,,,Blank abilities omitted from this section
TOP_ABILITIES,,37,Flame Body,64,0.38,,,Blank abilities omitted from this section
TOP_ABILITIES,,38,Analytic,63,0.38,,,Blank abilities omitted from this section
TOP_ABILITIES,,39,Overcoat,63,0.38,,,Blank abilities omitted from this section
TOP_ABILITIES,,40,Dry Skin,61,0.36,,,Blank abilities omitted from this section
TOP_ABILITIES,,41,Drizzle,61,0.36,,,Blank abilities omitted from this section
TOP_ABILITIES,,42,Flash Fire,60,0.36,,,Blank abilities omitted from this section
TOP_ABILITIES,,43,Frisk,60,0.36,,,Blank abilities omitted from this section
TOP_ABILITIES,,44,Snow Warning,59,0.35,,,Blank abilities omitted from this section
TOP_ABILITIES,,45,Serene Grace,55,0.33,,,Blank abilities omitted from this section
TOP_ABILITIES,,46,Sap Sipper,55,0.33,,,Blank abilities omitted from this section
TOP_ABILITIES,,47,Iron Fist,54,0.32,,,Blank abilities omitted from this section
TOP_ABILITIES,,48,Scrappy,53,0.32,,,Blank abilities omitted from this section
TOP_ABILITIES,,49,Drought,52,0.31,,,Blank abilities omitted from this section
TOP_ABILITIES,,50,Static,51,0.30,,,Blank abilities omitted from this section
TOP_NATURES,,1,Timid,3680,21.98,,,
TOP_NATURES,,2,Jolly,3241,19.36,,,
TOP_NATURES,,3,Adamant,2657,15.87,,,
TOP_NATURES,,4,Modest,1617,9.66,,,
TOP_NATURES,,5,Bold,1395,8.33,,,
TOP_NATURES,,6,Impish,797,4.76,,,
TOP_NATURES,,7,Calm,684,4.09,,,
TOP_NATURES,,8,Careful,682,4.07,,,
TOP_NATURES,,9,Naive,449,2.68,,,
TOP_NATURES,,10,Relaxed,346,2.07,,,
TOP_NATURES,,11,Sassy,291,1.74,,,
TOP_NATURES,,12,Hasty,206,1.23,,,
TOP_NATURES,,13,Brave,205,1.22,,,
TOP_NATURES,,14,Quiet,202,1.21,,,
TOP_NATURES,,15,Rash,91,0.54,,,
TOP_NATURES,,16,Naughty,80,0.48,,,
TOP_NATURES,,17,Mild,57,0.34,,,
TOP_NATURES,,18,Lonely,50,0.30,,,
TOP_NATURES,,19,Hardy,8,0.05,,,
TOP_NATURES,,20,Lax,2,0.01,,,
TOP_NATURES,,21,Gentle,2,0.01,,,
TOP_NATURES,,22,Serious,1,0.01,,,
TOP_NATURES,,23,Docile,1,0.01,,,
TOP_MOVES_ALL,,1,Earthquake,2780,16.60,Ground,Physical,
TOP_MOVES_ALL,,2,Knock Off,2104,12.57,Dark,Physical,
TOP_MOVES_ALL,,3,Protect,1997,11.93,Normal,Status,
TOP_MOVES_ALL,,4,Stealth Rock,1928,11.51,Rock,Status,
TOP_MOVES_ALL,,5,U-turn,1856,11.08,Bug,Physical,
TOP_MOVES_ALL,,6,Toxic,1784,10.65,Poison,Status,
TOP_MOVES_ALL,,7,Substitute,1598,9.54,Normal,Status,
TOP_MOVES_ALL,,8,Ice Beam,1522,9.09,Ice,Special,
TOP_MOVES_ALL,,9,Swords Dance,1440,8.60,Normal,Status,
TOP_MOVES_ALL,,10,Taunt,1408,8.41,Dark,Status,
TOP_MOVES_ALL,,11,Thunderbolt,1358,8.11,Electric,Special,
TOP_MOVES_ALL,,12,Roost,1207,7.21,Flying,Status,
TOP_MOVES_ALL,,13,Stone Edge,1135,6.78,Rock,Physical,
TOP_MOVES_ALL,,14,Close Combat,1122,6.70,Fighting,Physical,
TOP_MOVES_ALL,,15,Recover,1066,6.37,Normal,Status,
TOP_MOVES_ALL,,16,Psychic,1012,6.04,Psychic,Special,
TOP_MOVES_ALL,,17,Shadow Ball,936,5.59,Ghost,Special,
TOP_MOVES_ALL,,18,Earth Power,926,5.53,Ground,Special,
TOP_MOVES_ALL,,19,Calm Mind,917,5.48,Psychic,Status,
TOP_MOVES_ALL,,20,Thunder Wave,886,5.29,Electric,Status,
TOP_MOVES_ALL,,21,Focus Blast,873,5.21,Fighting,Special,
TOP_MOVES_ALL,,22,Will-O-Wisp,858,5.12,Fire,Status,
TOP_MOVES_ALL,,23,Fire Blast,843,5.03,Fire,Special,
TOP_MOVES_ALL,,24,Flamethrower,815,4.87,Fire,Special,
TOP_MOVES_ALL,,25,Scald,778,4.65,Water,Special,
TOP_MOVES_ALL,,26,Volt Switch,743,4.44,Electric,Special,
TOP_MOVES_ALL,,27,Sucker Punch,719,4.29,Dark,Physical,
TOP_MOVES_ALL,,28,Superpower,688,4.11,Fighting,Physical,
TOP_MOVES_ALL,,29,Spikes,673,4.02,Ground,Status,
TOP_MOVES_ALL,,30,Draco Meteor,669,4.00,Dragon,Special,
TOP_MOVES_ALL,,31,Hidden Power Ice,645,3.85,Ice,Special,
TOP_MOVES_ALL,,32,Hydro Pump,641,3.83,Water,Special,
TOP_MOVES_ALL,,33,Trick,632,3.77,Psychic,Status,
TOP_MOVES_ALL,,34,Rock Slide,627,3.74,Rock,Physical,
TOP_MOVES_ALL,,35,Encore,616,3.68,Normal,Status,
TOP_MOVES_ALL,,36,Sludge Bomb,615,3.67,Poison,Special,
TOP_MOVES_ALL,,37,Moonblast,610,3.64,Fairy,Special,
TOP_MOVES_ALL,,38,Defog,609,3.64,Flying,Status,
TOP_MOVES_ALL,,39,Nasty Plot,603,3.60,Dark,Status,
TOP_MOVES_ALL,,40,Ice Punch,594,3.55,Ice,Physical,
TOP_MOVES_ALL,,41,Rest,576,3.44,Psychic,Status,
TOP_MOVES_ALL,,42,Rapid Spin,565,3.37,Normal,Physical,
TOP_MOVES_ALL,,43,Hidden Power Fire,551,3.29,Fire,Special,
TOP_MOVES_ALL,,44,Surf,535,3.20,Water,Special,
TOP_MOVES_ALL,,45,Giga Drain,531,3.17,Grass,Special,
TOP_MOVES_ALL,,46,Return,528,3.15,Normal,Physical,
TOP_MOVES_ALL,,47,Iron Head,528,3.15,Steel,Physical,
TOP_MOVES_ALL,,48,Crunch,525,3.14,Dark,Physical,
TOP_MOVES_ALL,,49,Psyshock,516,3.08,Psychic,Special,
TOP_MOVES_ALL,,50,Outrage,477,2.85,Dragon,Physical,
TOP_MOVES_ALL,,51,Dragon Dance,443,2.65,Dragon,Status,
TOP_MOVES_ALL,,52,Pursuit,406,2.42,Dark,Physical,
TOP_MOVES_ALL,,53,Dark Pulse,399,2.38,Dark,Special,
TOP_MOVES_ALL,,54,Flare Blitz,391,2.34,Fire,Physical,
TOP_MOVES_ALL,,55,Grass Knot,385,2.30,Grass,Special,
TOP_MOVES_ALL,,56,Waterfall,380,2.27,Water,Physical,
TOP_MOVES_ALL,,57,Brave Bird,377,2.25,Flying,Physical,
TOP_MOVES_ALL,,58,Drain Punch,376,2.25,Fighting,Physical,
TOP_MOVES_ALL,,59,Hidden Power Grass,375,2.24,Grass,Special,
TOP_MOVES_ALL,,60,Explosion,351,2.10,Normal,Physical,
TOP_MOVES_ALL,,61,Heat Wave,348,2.08,Fire,Special,
TOP_MOVES_ALL,,62,Extreme Speed,348,2.08,Normal,Physical,
TOP_MOVES_ALL,,63,Fake Out,346,2.07,Normal,Physical,
TOP_MOVES_ALL,,64,Fire Punch,343,2.05,Fire,Physical,
TOP_MOVES_ALL,,65,Trick Room,331,1.98,Psychic,Status,
TOP_MOVES_ALL,,66,Thunder,330,1.97,Electric,Special,
TOP_MOVES_ALL,,67,Sleep Talk,329,1.96,Normal,Status,
TOP_MOVES_ALL,,68,Overheat,328,1.96,Fire,Special,
TOP_MOVES_ALL,,69,Synthesis,325,1.94,Grass,Status,
TOP_MOVES_ALL,,70,Dazzling Gleam,325,1.94,Fairy,Special,
TOP_MOVES_ALL,,71,Hurricane,321,1.92,Flying,Special,
TOP_MOVES_ALL,,72,Flash Cannon,318,1.90,Steel,Special,
TOP_MOVES_ALL,,73,Energy Ball,315,1.88,Grass,Special,
TOP_MOVES_ALL,,74,Leech Seed,315,1.88,Grass,Status,
TOP_MOVES_ALL,,75,Body Press,309,1.85,Fighting,Physical,
TOP_MOVES_ALL,,76,Aqua Jet,305,1.82,Water,Physical,
TOP_MOVES_ALL,,77,Tera Blast,305,1.82,Normal,Special,
TOP_MOVES_ALL,,78,Poison Jab,302,1.80,Poison,Physical,
TOP_MOVES_ALL,,79,Low Kick,289,1.73,Fighting,Physical,
TOP_MOVES_ALL,,80,Toxic Spikes,288,1.72,Poison,Status,
TOP_MOVES_ALL,,81,Roar,287,1.71,Normal,Status,
TOP_MOVES_ALL,,82,Bulk Up,282,1.68,Fighting,Status,
TOP_MOVES_ALL,,83,Leaf Storm,279,1.67,Grass,Special,
TOP_MOVES_ALL,,84,Play Rough,272,1.62,Fairy,Physical,
TOP_MOVES_ALL,,85,Ice Shard,269,1.61,Ice,Physical,
TOP_MOVES_ALL,,86,Gunk Shot,265,1.58,Poison,Physical,
TOP_MOVES_ALL,,87,Air Slash,263,1.57,Flying,Special,
TOP_MOVES_ALL,,88,Sludge Wave,258,1.54,Poison,Special,
TOP_MOVES_ALL,,89,Sleep Powder,251,1.50,Grass,Status,
TOP_MOVES_ALL,,90,Foul Play,250,1.49,Dark,Physical,
TOP_MOVES_ALL,,91,Pain Split,248,1.48,Normal,Status,
TOP_MOVES_ALL,,92,Zen Headbutt,247,1.48,Psychic,Physical,
TOP_MOVES_ALL,,93,Shadow Sneak,247,1.48,Ghost,Physical,
TOP_MOVES_ALL,,94,Heavy Slam,247,1.48,Steel,Physical,
TOP_MOVES_ALL,,95,Hidden Power Ground,242,1.45,Ground,Special,
TOP_MOVES_ALL,,96,Double-Edge,242,1.45,Normal,Physical,
TOP_MOVES_ALL,,97,Power Whip,241,1.44,Grass,Physical,
TOP_MOVES_ALL,,98,Heal Bell,232,1.39,Normal,Status,
TOP_MOVES_ALL,,99,Bullet Punch,231,1.38,Steel,Physical,
TOP_MOVES_ALL,,100,Reflect,227,1.36,Psychic,Status,
TOP_MOVES_BY_MOVE_TYPE,Bug,1,U-turn,1856,11.08,Bug,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Bug,2,Bug Buzz,213,1.27,Bug,Special,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Bug,3,X-Scissor,180,1.08,Bug,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Bug,4,Megahorn,169,1.01,Bug,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Bug,5,Quiver Dance,144,0.86,Bug,Status,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Bug,6,Signal Beam,121,0.72,Bug,Special,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Bug,7,Sticky Web,117,0.70,Bug,Status,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Bug,8,Bug Bite,69,0.41,Bug,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Bug,9,First Impression,57,0.34,Bug,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Bug,10,Leech Life,56,0.33,Bug,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Bug,11,Tail Glow,49,0.29,Bug,Status,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Bug,12,Rage Powder,43,0.26,Bug,Status,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Bug,13,Pollen Puff,25,0.15,Bug,Special,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Bug,14,Infestation,23,0.14,Bug,Special,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Bug,15,Pin Missile,22,0.13,Bug,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Bug,16,Lunge,15,0.09,Bug,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Bug,17,String Shot,9,0.05,Bug,Status,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Bug,18,Skitter Smack,9,0.05,Bug,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Bug,19,Pounce,5,0.03,Bug,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Bug,20,Hidden Power Bug,4,0.02,Bug,Special,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dark,1,Knock Off,2104,12.57,Dark,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dark,2,Taunt,1408,8.41,Dark,Status,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dark,3,Sucker Punch,719,4.29,Dark,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dark,4,Nasty Plot,603,3.60,Dark,Status,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dark,5,Crunch,525,3.14,Dark,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dark,6,Pursuit,406,2.42,Dark,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dark,7,Dark Pulse,399,2.38,Dark,Special,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dark,8,Foul Play,250,1.49,Dark,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dark,9,Parting Shot,148,0.88,Dark,Status,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dark,10,Memento,111,0.66,Dark,Status,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dark,11,Switcheroo,97,0.58,Dark,Status,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dark,12,Snarl,92,0.55,Dark,Special,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dark,13,Night Slash,85,0.51,Dark,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dark,14,Payback,76,0.45,Dark,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dark,15,Throat Chop,70,0.42,Dark,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dark,16,Darkest Lariat,49,0.29,Dark,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dark,17,Topsy-Turvy,44,0.26,Dark,Status,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dark,18,Wicked Blow,39,0.23,Dark,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dark,19,Beat Up,38,0.23,Dark,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dark,20,Thief,37,0.22,Dark,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dragon,1,Draco Meteor,669,4.00,Dragon,Special,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dragon,2,Outrage,477,2.85,Dragon,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dragon,3,Dragon Dance,443,2.65,Dragon,Status,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dragon,4,Dragon Claw,227,1.36,Dragon,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dragon,5,Dragon Pulse,185,1.10,Dragon,Special,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dragon,6,Dragon Tail,175,1.05,Dragon,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dragon,7,Scale Shot,94,0.56,Dragon,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dragon,8,Dragon Darts,41,0.24,Dragon,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dragon,9,Spacial Rend,40,0.24,Dragon,Special,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dragon,10,Core Enforcer,39,0.23,Dragon,Special,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dragon,11,Clanging Scales,37,0.22,Dragon,Special,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dragon,12,Dynamax Cannon,29,0.17,Dragon,Special,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dragon,13,Dragon Energy,22,0.13,Dragon,Special,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dragon,14,Dual Chop,20,0.12,Dragon,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dragon,15,Fickle Beam,15,0.09,Dragon,Special,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dragon,16,Breaking Swipe,14,0.08,Dragon,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dragon,17,Clangorous Soul,12,0.07,Dragon,Status,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dragon,18,Glaive Rush,11,0.07,Dragon,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dragon,19,Dragon Rush,5,0.03,Dragon,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Dragon,20,Order Up,5,0.03,Dragon,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Electric,1,Thunderbolt,1358,8.11,Electric,Special,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Electric,2,Thunder Wave,886,5.29,Electric,Status,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Electric,3,Volt Switch,743,4.44,Electric,Special,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Electric,4,Thunder,330,1.97,Electric,Special,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Electric,5,Thunder Punch,226,1.35,Electric,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Electric,6,Discharge,151,0.90,Electric,Special,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Electric,7,Wild Charge,151,0.90,Electric,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Electric,8,Hidden Power Electric,101,0.60,Electric,Special,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Electric,9,Bolt Strike,89,0.53,Electric,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Electric,10,Nuzzle,81,0.48,Electric,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Electric,11,Magnet Rise,50,0.30,Electric,Status,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Electric,12,Fusion Bolt,43,0.26,Electric,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Electric,13,Thunderclap,36,0.22,Electric,Special,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Electric,14,Charge Beam,34,0.20,Electric,Special,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Electric,15,Electroweb,30,0.18,Electric,Special,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Electric,16,Plasma Fists,30,0.18,Electric,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Electric,17,Eerie Impulse,18,0.11,Electric,Status,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Electric,18,Electro Drift,18,0.11,Electric,Special,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Electric,19,Rising Voltage,16,0.10,Electric,Special,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Electric,20,Bolt Beak,16,0.10,Electric,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Fairy,1,Moonblast,610,3.64,Fairy,Special,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Fairy,2,Dazzling Gleam,325,1.94,Fairy,Special,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Fairy,3,Play Rough,272,1.62,Fairy,Physical,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Fairy,4,Moonlight,139,0.83,Fairy,Status,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Fairy,5,Draining Kiss,104,0.62,Fairy,Special,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Fairy,6,Charm,42,0.25,Fairy,Status,Top 20 moves of this elemental type by slot appearances
TOP_MOVES_BY_MOVE_TYPE,Fairy,7,Nature's Madness,35,0.21,Fairy,Special,Top 20 moves of this elemental type by slot appearances
