genKey,eid,eventName,trainer,city,stab_avg,hasStab_pct,coverage_avg,avgBP,maxBP,status_pct,priority_pct,natOpt_pct,natBad_pct,abilOpt_pct,abilHidden_pct,item_pct,intent_natOpt,intent_abilOpt,intent_moveOpt,intent_itemTier
gen1,30,Gym Trainer 2,Medium JPN,5,1.43,0.97,2.43,92.65,114.75,0.7,0.11,0.77,0.03,0.47,0.17,0.86,1,1,0.79,2
gen1,31,Gym Leader 5,Sabrina,5,1.48,0.97,2.41,94.2,116.78,0.71,0.11,0.78,0.03,0.47,0.19,0.59,1,1,0.79,2
gen1,33,Basic Trainer,Lab Rat,5,1.44,0.96,2.44,91.19,111.11,0.69,0.13,0.74,0.03,0.48,0.19,0.86,1,1,0.79,2
gen1,34,Elite Trainer,Penny,5,1.45,0.96,2.28,89.23,107.57,0.74,0.1,0.77,0.04,0.47,0.16,0.54,1,1,0.79,2
gen1,36,Gym Trainer 1,Office Worker,6,1.48,0.98,2.42,93.58,114.6,0.74,0.09,0.76,0.04,0.44,0.21,0.83,1,1,1,2
gen1,37,Gym Trainer 2,Officer,6,1.44,0.96,2.39,93.76,114.78,0.71,0.09,0.77,0.03,0.45,0.18,0.56,1,1,1,2
gen1,38,Gym Leader 6,Larry,6,1.46,0.96,2.4,96.67,119.5,0.76,0.08,0.7,0.02,0.42,0.17,0.57,1,1,1,2
gen1,39,Rival,Hop,6,1.38,0.95,2.36,95.81,115.98,0.76,0.1,0.72,0.05,0.46,0.24,0.53,1,1,1,2
gen1,41,Basic Trainer,Channeler,6,1.43,0.97,2.42,93.84,114.84,0.72,0.09,0.76,0.04,0.45,0.2,0.84,1,1,1,2
gen1,42,Elite Trainer,Veteran Wallace,6,1.41,0.96,2.37,94.24,114.19,0.74,0.09,0.76,0.02,0.46,0.2,0.57,1,1,1,2
gen1,44,Gym Trainer 1,Depot Agent,7,1.53,0.97,2.45,95.06,117.87,0.72,0.13,0.75,0.05,0.46,0.19,0.83,1,1,1,2
gen1,45,Gym Trainer 2,Depot Agent,7,1.45,0.97,2.4,95.64,117.95,0.74,0.11,0.73,0.03,0.41,0.15,0.53,1,1,1,2
gen1,46,Gym Leader 7,Byron,7,1.37,0.96,2.37,94.65,115.15,0.75,0.09,0.73,0.04,0.46,0.18,0.56,1,1,1,2
gen1,48,Elite Trainer,Hollow Cyrus,7,1.46,0.96,2.49,96.72,118.59,0.71,0.07,0.77,0.03,0.4,0.18,0.53,1,1,1,2
gen1,49,Elite Trainer,Veteran Koga,7,1.48,0.96,2.4,93.42,114.53,0.73,0.09,0.7,0.03,0.46,0.19,0.57,1,1,1,2
gen1,51,Gym Trainer 1,Hiker,8,1.46,0.98,2.44,93.45,113.6,0.74,0.12,0.77,0.05,0.46,0.19,0.86,1,1,1,3
gen1,52,Gym Trainer 2,Hiker,8,1.42,0.96,2.4,94.38,115.15,0.74,0.1,0.75,0.03,0.43,0.14,0.82,1,1,1,3
gen1,53,Gym Leader 8,Grant,8,1.4,0.95,2.46,97.18,119.5,0.72,0.09,0.76,0.03,0.43,0.14,0.82,1,1,1,3
gen1,56,Elite Trainer,Eldritch N,8,1.42,0.96,2.4,98.45,118.8,0.72,0.05,0.74,0.04,0.38,0.15,0.82,1,1,1,3
gen1,57,Elite Trainer,Mars,8,1.36,0.95,2.32,94.77,115.64,0.75,0.07,0.73,0.03,0.47,0.21,0.81,1,1,1,3
gen1,58,Elite Trainer,Silent Red,8,1.38,0.95,2.44,96,118.7,0.73,0.06,0.75,0.03,0.42,0.18,0.8,1,1,1,3
gen1,60,E1,Lorelei,9,1.47,0.99,2.03,88.48,105.79,0.9,0.04,0.6,0.13,0.51,0.15,0.89,1,1,1,3
gen1,61,E2,Bruno,9,1.39,0.94,2.49,103.22,127.92,0.71,0.18,0.8,0.01,0.57,0.11,0.89,1,1,1,3
gen1,62,E3,Flint,9,1.44,0.97,2.49,95.47,117.53,0.72,0.07,0.79,0.04,0.4,0.13,0.8,1,1,1,3
gen1,63,E4,Lance,9,1.23,0.94,2.39,97.08,112.28,0.78,0.25,0.81,0,0.38,0.24,0.94,1,1,1,3
gen1,64,Champion,Prof. Kukui,9,1.42,0.94,2.43,94.75,116.93,0.73,0.08,0.75,0.04,0.4,0.15,0.85,1,1,1,3
gen1,65,Rival,Hop,9,1.38,0.96,2.44,96.55,118.88,0.73,0.09,0.75,0.02,0.48,0.18,0.83,1,1,1,3
gen1,67,Mystery Figure,Young Athlete F,9,1.34,0.92,2.37,97.1,119.51,0.73,0.09,0.76,0.03,0.37,0.14,0.82,1,1,1,3
allgen,68,Rival,Hop,0,1.34,0.91,2.52,79.11,96.05,0.65,0.17,0.09,0,0.05,0,0,0.12,0.12,0.12,0
allgen,1,Basic Trainer,Blackbelt,0,1.4,0.91,2.44,79.85,97.3,0.71,0.21,0,0,0,0,0,0.12,0.12,0.12,0
allgen,4,Gym Trainer 1,Hex Maniac,1,1.41,0.92,2.49,82.59,103.97,0.69,0.18,0.08,0.01,0.03,0,0,0.12,0.12,0.12,0
allgen,5,Gym Leader 1,Ryme,1,1.38,0.88,2.4,79.16,98.28,0.68,0.23,0.11,0,0.03,0,0,0.12,0.12,0.12,0
allgen,7,Basic Trainer,Veteran,1,1.35,0.9,2.48,81.9,99.21,0.71,0.13,0,0,0,0,0,0.12,0.12,0.12,0
allgen,8,Basic Trainer,Team Aqua Grunt F,1,1.39,0.89,2.45,80.68,99.83,0.68,0.19,0,0,0,0,0,0.12,0.12,0.12,0
allgen,10,Gym Trainer 1,Hex Maniac,2,1.41,0.93,2.41,84.36,103.98,0.72,0.16,0.28,0.01,0.03,0,0.72,0.37,0.12,0.12,1
allgen,11,Gym Leader 2,Morty,2,1.47,0.94,2.32,85.65,104.73,0.72,0.14,0.25,0.03,0.03,0,0.72,0.37,0.12,0.12,1
allgen,14,Basic Trainer,Bird Keeper,2,1.39,0.89,2.32,83.53,100.8,0.72,0.15,0.17,0.01,0.2,0,0.36,0.37,0.12,0.12,1
allgen,15,Basic Trainer,Pilot,2,1.42,0.92,2.31,86.83,105.86,0.73,0.16,0.17,0.01,0.2,0,0.39,0.37,0.12,0.12,1
allgen,17,Gym Trainer 1,Cue Ball,3,1.41,0.92,2.38,86.82,107.9,0.69,0.15,0.44,0.03,0.22,0,0.39,0.62,0.45,0.12,1
allgen,18,Gym Leader 3,Chuck,3,1.43,0.92,2.27,85.65,103.82,0.74,0.11,0.41,0.05,0.24,0,0.36,0.62,0.45,0.12,1
allgen,12,Rival,Hop,3,1.34,0.89,2.29,81.91,98.56,0.73,0.17,0.43,0.03,0.21,0,0.35,0.62,0.45,0.12,1
allgen,20,Basic Trainer,Channeler,3,1.42,0.93,2.35,85.44,104.65,0.73,0.14,0.36,0.02,0.18,0,0.38,0.62,0.45,0.12,1
allgen,21,Basic Trainer,Ruin Maniac,3,1.43,0.92,2.37,85.14,103.99,0.73,0.15,0.35,0.02,0.18,0,0.37,0.62,0.45,0.12,1
allgen,23,Gym Trainer 1,Triathlete F Swimmer,4,1.42,0.93,2.39,84.78,103.81,0.71,0.15,0.61,0.06,0.22,0,0.4,0.87,0.79,0.45,1
allgen,24,Gym Leader 4,Crasher Wake,4,1.42,0.93,2.25,84.58,102.02,0.75,0.13,0.61,0.05,0.26,0,0.39,0.87,0.79,0.45,1
allgen,26,Basic Trainer,Plasma Grunt F,4,1.41,0.91,2.32,83.02,99.3,0.74,0.16,0.52,0.04,0.21,0,0.42,0.87,0.79,0.45,1
allgen,27,Basic Trainer,Crooked Beat,4,1.4,0.93,2.28,84.46,100.22,0.72,0.12,0.52,0.04,0.2,0,0.38,0.87,0.79,0.45,1
allgen,29,Gym Trainer 1,Medium,5,1.46,0.94,2.42,85.55,106.8,0.71,0.16,0.75,0.04,0.42,0.18,0.91,1,1,0.79,2
allgen,30,Gym Trainer 2,Psychic F,5,1.46,0.93,2.44,85.5,107.09,0.7,0.19,0.73,0.04,0.4,0.13,0.94,1,1,0.79,2
allgen,31,Gym Leader 5,Sabrina,5,1.44,0.92,2.29,91.58,112.23,0.76,0.14,0.75,0.04,0.44,0.16,0.68,1,1,0.79,2
allgen,33,Basic Trainer,Ruin Maniac,5,1.45,0.93,2.37,84.42,101.07,0.73,0.15,0.7,0.04,0.42,0.18,0.88,1,1,0.79,2
allgen,34,Elite Trainer,Volkner,5,1.49,0.94,2.4,90.71,109.54,0.69,0.1,0.73,0.04,0.42,0.17,0.61,1,1,0.79,2
allgen,36,Gym Trainer 1,Triathlete Runner,6,1.51,0.96,2.35,92.31,113.12,0.74,0.13,0.74,0.03,0.43,0.22,0.83,1,1,1,2
allgen,37,Gym Trainer 2,Reporter,6,1.48,0.95,2.36,91.06,110.34,0.7,0.1,0.76,0.03,0.44,0.19,0.56,1,1,1,2
allgen,38,Gym Leader 6,Larry,6,1.47,0.92,2.34,89.17,108.48,0.71,0.13,0.73,0.05,0.39,0.16,0.62,1,1,1,2
allgen,39,Rival,Hop,6,1.46,0.91,2.37,91.05,108.34,0.7,0.1,0.74,0.04,0.36,0.16,0.56,1,1,1,2
allgen,41,Basic Trainer,Team Aqua Grunt F,6,1.49,0.94,2.32,92.27,109.55,0.74,0.09,0.71,0.05,0.4,0.16,0.84,1,1,1,2
allgen,42,Elite Trainer,Veteran Wallace,6,1.6,0.95,2.44,91.57,109.91,0.71,0.13,0.76,0.05,0.39,0.17,0.57,1,1,1,2
allgen,44,Gym Trainer 1,Reactor Tech,7,1.5,0.95,2.42,92.11,112.57,0.7,0.12,0.74,0.04,0.38,0.19,0.84,1,1,1,2
allgen,45,Gym Trainer 2,Worker,7,1.46,0.95,2.33,92.75,113.89,0.72,0.13,0.72,0.05,0.42,0.17,0.54,1,1,1,2
allgen,46,Gym Leader 7,Byron,7,1.47,0.94,2.35,92.21,110.91,0.71,0.1,0.73,0.05,0.41,0.16,0.63,1,1,1,2
allgen,48,Elite Trainer,Hollow Cyrus,7,1.6,0.93,2.41,91.59,109.78,0.7,0.14,0.76,0.04,0.41,0.18,0.6,1,1,1,2
allgen,49,Elite Trainer,Veteran Koga,7,1.51,0.94,2.42,96.37,115.38,0.72,0.06,0.74,0.04,0.39,0.18,0.61,1,1,1,2
allgen,51,Gym Trainer 1,Rocker,8,1.42,0.94,2.4,92.57,112.53,0.71,0.12,0.73,0.04,0.42,0.19,0.84,1,1,1,3
allgen,52,Gym Trainer 2,Hiker,8,1.5,0.94,2.35,92.04,113.15,0.73,0.11,0.76,0.03,0.43,0.16,0.81,1,1,1,3
allgen,53,Gym Leader 8,Grant,8,1.45,0.93,2.33,92.23,111.97,0.72,0.14,0.74,0.05,0.41,0.14,0.91,1,1,1,3
allgen,56,Elite Trainer,Eldritch N,8,1.59,0.95,2.42,91.27,108.92,0.69,0.13,0.73,0.04,0.38,0.15,0.86,1,1,1,3
allgen,57,Elite Trainer,Mars,8,1.49,0.93,2.37,92.91,112.02,0.76,0.12,0.74,0.03,0.38,0.16,0.87,1,1,1,3
allgen,58,Elite Trainer,Silent Red,8,1.58,0.95,2.28,91.8,109.58,0.75,0.14,0.69,0.05,0.41,0.17,0.88,1,1,1,3
allgen,60,E1,Lorelei,9,1.45,0.98,1.99,87.32,102.49,0.91,0.04,0.58,0.13,0.51,0.14,0.89,1,1,1,3
allgen,61,E2,Bruno,9,1.44,0.94,2.69,103.03,131.3,0.7,0.27,0.84,0.05,0.59,0.14,0.94,1,1,1,3
allgen,62,E3,Flint,9,1.47,0.95,2.2,93,109.92,0.77,0.16,0.66,0.06,0.32,0.12,0.94,1,1,1,3
allgen,63,E4,Lance,9,1.2,0.93,2.42,100.34,116.12,0.79,0.26,0.82,0.01,0.37,0.24,0.95,1,1,1,3
allgen,64,Champion,Prof. Kukui,9,1.48,0.96,2.41,94.58,114.3,0.76,0.07,0.74,0.04,0.42,0.17,0.96,1,1,1,3
allgen,65,Rival,Hop,9,1.46,0.89,2.36,92.36,111.38,0.74,0.12,0.75,0.02,0.32,0.15,0.89,1,1,1,3
allgen,67,Mystery Figure,Hau,9,1.44,0.93,2.38,93.83,114.57,0.71,0.11,0.72,0.07,0.27,0.1,0.87,1,1,1,3
gen1to6,68,Rival,Hop,0,1.32,0.91,2.6,79.03,97.55,0.62,0.17,0.12,0,0.03,0,0,0.12,0.12,0.12,0
gen1to6,1,Basic Trainer,Swimmer F JPN,0,1.34,0.92,2.5,82.22,102.91,0.69,0.16,0,0,0,0,0,0.12,0.12,0.12,0
gen1to6,4,Gym Trainer 1,Hex Maniac,1,1.39,0.94,2.49,82.86,103.43,0.72,0.17,0.08,0.01,0.03,0,0,0.12,0.12,0.12,0
gen1to6,5,Gym Leader 1,Ryme,1,1.43,0.93,2.51,83.61,105.87,0.68,0.18,0.09,0.02,0.05,0,0,0.12,0.12,0.12,0
gen1to6,7,Basic Trainer,Smasher,1,1.48,0.95,2.6,83.38,102.46,0.65,0.11,0,0,0,0,0,0.12,0.12,0.12,0
gen1to6,8,Basic Trainer,Triathlete F Biker,1,1.45,0.94,2.56,83.7,103.46,0.67,0.18,0,0,0,0,0,0.12,0.12,0.12,0
gen1to6,10,Gym Trainer 1,Channeler,2,1.43,0.94,2.39,85.19,104.01,0.72,0.16,0.27,0.01,0.03,0,0.73,0.37,0.12,0.12,1
gen1to6,11,Gym Leader 2,Morty,2,1.46,0.95,2.38,84.61,103.08,0.75,0.13,0.28,0.02,0.04,0,0.71,0.37,0.12,0.12,1
gen1to6,14,Basic Trainer,Picnicker,2,1.35,0.91,2.2,84.77,102.1,0.76,0.12,0.18,0.01,0.19,0,0.34,0.37,0.12,0.12,1
gen1to6,15,Basic Trainer,Cue Ball,2,1.46,0.94,2.35,85.49,103.41,0.75,0.14,0.16,0.01,0.16,0,0.35,0.37,0.12,0.12,1
gen1to6,17,Gym Trainer 1,Battle Girl,3,1.44,0.93,2.36,85.46,106.93,0.72,0.16,0.47,0.02,0.23,0,0.37,0.62,0.45,0.12,1
gen1to6,18,Gym Leader 3,Chuck,3,1.41,0.94,2.29,86.02,104.05,0.75,0.11,0.39,0.05,0.25,0,0.36,0.62,0.45,0.12,1
gen1to6,12,Rival,Hop,3,1.3,0.9,2.3,82.48,97.51,0.74,0.14,0.45,0.04,0.24,0,0.4,0.62,0.45,0.12,1
gen1to6,20,Basic Trainer,Picnicker,3,1.37,0.91,2.31,84.25,101.19,0.73,0.14,0.38,0.03,0.23,0,0.37,0.62,0.45,0.12,1
gen1to6,21,Basic Trainer,Double Team,3,1.45,0.94,2.28,86.81,106,0.74,0.14,0.36,0.02,0.25,0,0.38,0.62,0.45,0.12,1
gen1to6,23,Gym Trainer 1,Swimmer JPN,4,1.4,0.92,2.38,83.74,102.93,0.74,0.14,0.63,0.04,0.27,0,0.4,0.87,0.79,0.45,1
gen1to6,24,Gym Leader 4,Crasher Wake,4,1.43,0.92,2.3,86.77,104.83,0.68,0.13,0.61,0.07,0.25,0,0.35,0.87,0.79,0.45,1
gen1to6,26,Basic Trainer,Hex Maniac JPN,4,1.42,0.91,2.26,83.57,100.95,0.77,0.17,0.49,0.02,0.25,0,0.37,0.87,0.79,0.45,1
gen1to6,27,Basic Trainer,Pilot,4,1.39,0.92,2.32,86.56,107.13,0.73,0.14,0.54,0.03,0.26,0,0.39,0.87,0.79,0.45,1
gen1to6,29,Gym Trainer 1,Hex Maniac JPN,5,1.42,0.94,2.38,85.3,105.28,0.73,0.14,0.71,0.04,0.45,0.18,0.89,1,1,0.79,2
gen1to6,30,Gym Trainer 2,Psychic F,5,1.43,0.94,2.41,87.81,110.54,0.7,0.17,0.72,0.04,0.4,0.16,0.93,1,1,0.79,2
gen1to6,31,Gym Leader 5,Sabrina,5,1.46,0.93,2.35,90.14,110.86,0.73,0.14,0.76,0.04,0.47,0.16,0.61,1,1,0.79,2
gen1to6,33,Basic Trainer,Triathlete Biker,5,1.42,0.93,2.36,87.39,107.03,0.72,0.15,0.7,0.04,0.44,0.19,0.84,1,1,0.79,2
gen1to6,34,Elite Trainer,Chili,5,1.51,0.93,2.28,87.23,104.8,0.72,0.12,0.72,0.06,0.43,0.16,0.58,1,1,0.79,2
gen1to6,36,Gym Trainer 1,Office Worker,6,1.46,0.95,2.3,91.57,111.17,0.73,0.12,0.74,0.04,0.41,0.21,0.85,1,1,1,2
gen1to6,37,Gym Trainer 2,Nursery Aide,6,1.46,0.95,2.3,93.65,113.82,0.72,0.11,0.74,0.05,0.45,0.19,0.55,1,1,1,2
gen1to6,38,Gym Leader 6,Larry,6,1.41,0.92,2.25,95.47,114.44,0.77,0.1,0.74,0.05,0.4,0.15,0.6,1,1,1,2
gen1to6,39,Rival,Hop,6,1.34,0.89,2.24,91.96,109.7,0.74,0.09,0.74,0.05,0.37,0.17,0.57,1,1,1,2
gen1to6,41,Basic Trainer,Veteran F,6,1.44,0.93,2.36,94.84,113.75,0.74,0.12,0.73,0.03,0.43,0.18,0.83,1,1,1,2
gen1to6,42,Elite Trainer,Veteran Wallace,6,1.56,0.94,2.3,92.34,110.57,0.75,0.13,0.72,0.06,0.4,0.17,0.57,1,1,1,2
gen1to6,44,Gym Trainer 1,Depot Agent,7,1.45,0.95,2.33,93.56,113.39,0.72,0.11,0.73,0.05,0.44,0.22,0.79,1,1,1,2
gen1to6,45,Gym Trainer 2,Reactor Tech,7,1.41,0.92,2.22,93.12,113.55,0.73,0.15,0.73,0.03,0.42,0.17,0.6,1,1,1,2
gen1to6,46,Gym Leader 7,Byron,7,1.42,0.93,2.31,94.39,113.26,0.73,0.09,0.73,0.03,0.4,0.15,0.57,1,1,1,2
gen1to6,48,Elite Trainer,Hollow Cyrus,7,1.53,0.94,2.35,91.49,109.15,0.72,0.13,0.75,0.04,0.39,0.16,0.57,1,1,1,2
gen1to6,49,Elite Trainer,Veteran Koga,7,1.49,0.93,2.38,94.92,112.71,0.73,0.06,0.75,0.03,0.46,0.21,0.56,1,1,1,2
gen1to6,51,Gym Trainer 1,Rocker,8,1.43,0.93,2.37,92.79,112.68,0.69,0.13,0.73,0.03,0.41,0.19,0.84,1,1,1,3
gen1to6,52,Gym Trainer 2,Rocker,8,1.45,0.94,2.28,93.66,113.83,0.73,0.11,0.73,0.04,0.39,0.18,0.82,1,1,1,3
gen1to6,53,Gym Leader 8,Grant,8,1.33,0.9,2.25,94.48,113.08,0.75,0.1,0.74,0.04,0.4,0.14,0.89,1,1,1,3
gen1to6,56,Elite Trainer,Eldritch N,8,1.52,0.92,2.27,91.61,108.12,0.72,0.13,0.71,0.06,0.34,0.12,0.85,1,1,1,3
gen1to6,57,Elite Trainer,Mars,8,1.46,0.93,2.33,94.48,112.22,0.76,0.1,0.73,0.05,0.37,0.14,0.85,1,1,1,3
gen1to6,58,Elite Trainer,Silent Red,8,1.48,0.92,2.17,91.48,110.45,0.75,0.15,0.71,0.06,0.39,0.15,0.83,1,1,1,3
gen1to6,60,E1,Lorelei,9,1.45,0.99,1.96,88.25,104.08,0.91,0.04,0.57,0.13,0.53,0.16,0.89,1,1,1,3
gen1to6,61,E2,Bruno,9,1.41,0.93,2.69,103.91,129.14,0.68,0.27,0.84,0.05,0.58,0.12,0.94,1,1,1,3
gen1to6,62,E3,Flint,9,1.43,0.94,2.19,90.39,107.43,0.76,0.15,0.7,0.04,0.33,0.13,0.9,1,1,1,3
gen1to6,63,E4,Lance,9,1.2,0.91,2.39,97.37,112.81,0.79,0.26,0.84,0.01,0.36,0.23,0.96,1,1,1,3
gen1to6,64,Champion,Prof. Kukui,9,1.43,0.95,2.42,98.69,120.98,0.7,0.07,0.73,0.04,0.39,0.17,0.94,1,1,1,3
gen1to6,65,Rival,Hop,9,1.36,0.9,2.31,92.74,110.59,0.73,0.1,0.74,0.05,0.35,0.13,0.82,1,1,1,3
gen1to6,67,Mystery Figure,Ilima,9,1.44,0.93,2.34,93,112.89,0.74,0.11,0.69,0.06,0.32,0.12,0.84,1,1,1,3
gen1to3,68,Rival,Hop,0,1.35,0.96,2.48,84.41,103.2,0.73,0.15,0.08,0,0.05,0,0,0.12,0.12,0.12,0
gen1to3,1,Basic Trainer,Beauty,0,1.4,0.89,2.4,79.43,97.75,0.7,0.2,0,0,0,0,0,0.12,0.12,0.12,0
gen1to3,4,Gym Trainer 1,Channeler,1,1.43,0.93,2.53,84.59,105.62,0.66,0.17,0.08,0.01,0.04,0,0,0.12,0.12,0.12,0
gen1to3,5,Gym Leader 1,Ryme,1,1.36,0.91,2.42,82.97,104.33,0.68,0.18,0.07,0.01,0.04,0,0,0.12,0.12,0.12,0
gen1to3,7,Basic Trainer,Bug Maniac,1,1.39,0.9,2.49,82.78,102.93,0.66,0.16,0,0,0,0,0,0.12,0.12,0.12,0
gen1to3,8,Basic Trainer,Firebreather,1,1.43,0.93,2.59,85.32,108.63,0.64,0.18,0,0,0,0,0,0.12,0.12,0.12,0
gen1to3,10,Gym Trainer 1,Hex Maniac,2,1.42,0.93,2.39,84.25,103.04,0.73,0.16,0.25,0.03,0.04,0,0.73,0.37,0.12,0.12,1
gen1to3,11,Gym Leader 2,Morty,2,1.49,0.95,2.31,88.63,107.6,0.72,0.14,0.27,0.02,0.03,0,0.74,0.37,0.12,0.12,1
gen1to3,14,Basic Trainer,Medium,2,1.41,0.92,2.3,85.39,103.17,0.74,0.15,0.16,0.01,0.21,0,0.4,0.37,0.12,0.12,1
gen1to3,15,Basic Trainer,Firebreather,2,1.42,0.92,2.27,86.71,103.95,0.73,0.19,0.17,0.02,0.19,0,0.41,0.37,0.12,0.12,1
gen1to3,17,Gym Trainer 1,Battle Girl,3,1.42,0.93,2.33,86.42,106.14,0.73,0.17,0.42,0.02,0.23,0,0.41,0.62,0.45,0.12,1
gen1to3,18,Gym Leader 3,Chuck,3,1.46,0.94,2.28,85.73,104.29,0.74,0.13,0.42,0.03,0.24,0,0.37,0.62,0.45,0.12,1
gen1to3,12,Rival,Hop,3,1.37,0.92,2.29,83.02,100.78,0.71,0.17,0.47,0.05,0.22,0,0.37,0.62,0.45,0.12,1
gen1to3,20,Basic Trainer,Veteran,3,1.38,0.9,2.28,85.91,102.76,0.73,0.17,0.33,0.01,0.23,0,0.39,0.62,0.45,0.12,1
gen1to3,21,Basic Trainer,Veteran F,3,1.4,0.92,2.37,85.17,104.03,0.71,0.19,0.37,0.02,0.26,0,0.39,0.62,0.45,0.12,1
gen1to3,23,Gym Trainer 1,Team Aqua Grunt Beta,4,1.39,0.94,2.31,87.85,106.47,0.75,0.14,0.59,0.03,0.27,0,0.39,0.87,0.79,0.45,1
gen1to3,24,Gym Leader 4,Crasher Wake,4,1.44,0.94,2.3,87.9,107.38,0.74,0.14,0.62,0.03,0.24,0,0.41,0.87,0.79,0.45,1
gen1to3,26,Basic Trainer,Triathlete Biker,4,1.44,0.93,2.24,88.25,106.5,0.77,0.16,0.49,0.02,0.24,0,0.4,0.87,0.79,0.45,1
gen1to3,27,Basic Trainer,Medium JPN,4,1.43,0.93,2.28,88.74,106.93,0.74,0.14,0.51,0.03,0.24,0,0.4,0.87,0.79,0.45,1
gen1to3,29,Gym Trainer 1,Psychic,5,1.42,0.92,2.4,86.99,107.38,0.73,0.18,0.74,0.04,0.46,0.16,0.9,1,1,0.79,2
gen1to3,30,Gym Trainer 2,Mystic,5,1.39,0.93,2.42,88.84,110.78,0.71,0.16,0.74,0.03,0.43,0.14,0.9,1,1,0.79,2
gen1to3,31,Gym Leader 5,Sabrina,5,1.41,0.93,2.33,90.83,111.8,0.73,0.13,0.69,0.05,0.4,0.13,0.61,1,1,0.79,2
gen1to3,33,Basic Trainer,Beauty,5,1.43,0.92,2.28,87.15,105.52,0.75,0.17,0.69,0.03,0.46,0.17,0.85,1,1,0.79,2
gen1to3,34,Elite Trainer,Penny,5,1.41,0.93,2.18,90.07,106.66,0.76,0.1,0.69,0.04,0.41,0.14,0.56,1,1,0.79,2
gen1to3,36,Gym Trainer 1,Young Athlete F,6,1.45,0.95,2.34,92.83,115.17,0.72,0.11,0.75,0.04,0.43,0.19,0.81,1,1,1,2
gen1to3,37,Gym Trainer 2,Li,6,1.41,0.95,2.27,94.94,115.29,0.75,0.11,0.72,0.05,0.37,0.13,0.55,1,1,1,2
gen1to3,38,Gym Leader 6,Larry,6,1.42,0.95,2.3,91.91,111.01,0.76,0.09,0.68,0.06,0.41,0.16,0.56,1,1,1,2
