genKey,eid,eventName,trainer,city,badges,partyCap,intendedMult,enemyMonAvg,enemyMonP10,enemyMonP90,playerMonAvg,ratioPerMon_mean,ratioPerMon_med,ratioPerMon_p10,ratioPerMon_p90,ratioPerMon_sd,teamRatio_mean,offRatio,bulkRatio,speRatio,enemyAvgGrade,playerAvgGrade,delta_vs_intended,flag
gen1,53,Gym Leader 8,Grant,8,7,6,1.1,809.51,774.67,835.67,717.57,1.128,1.134,1.08,1.165,0.032,1.128,1.027,1.138,1.315,2.16,2.05,0.028,ok
gen1,56,Elite Trainer,Eldritch N,8,8,6,1.1,819.03,797.5,839,717.57,1.141,1.145,1.111,1.169,0.026,1.141,1.014,1.151,1.332,2.1,2.05,0.041,ok
gen1,57,Elite Trainer,Mars,8,8,6,1.1,811.62,784.17,834.17,717.57,1.131,1.138,1.093,1.162,0.025,1.131,0.997,1.151,1.296,2.16,2.05,0.031,ok
gen1,58,Elite Trainer,Silent Red,8,8,6,1.1,813.66,786.5,834.17,717.57,1.134,1.137,1.096,1.162,0.025,1.134,1.022,1.145,1.296,2.15,2.05,0.034,ok
gen1,60,E1,Lorelei,9,8,6,1.14,858.2,855,865.33,757.47,1.133,1.131,1.129,1.142,0.007,1.133,0.878,1.27,1.152,2.13,1.85,-0.007,ok
gen1,61,E2,Bruno,9,8,6,1.16,832.52,824.5,844.83,757.47,1.099,1.097,1.088,1.115,0.011,1.099,1.006,1.176,1.25,2.47,1.85,-0.061,ok
gen1,62,E3,Flint,9,8,6,1.18,882.31,846.17,911.5,757.47,1.165,1.17,1.117,1.203,0.033,1.165,1.018,1.171,1.476,2.13,1.85,-0.015,ok
gen1,63,E4,Lance,9,8,6,1.2,898.85,890,910.83,757.47,1.187,1.182,1.175,1.202,0.013,1.187,1.068,1.189,1.478,2.11,1.85,-0.013,ok
gen1,64,Champion,Prof. Kukui,9,8,6,1.23,924.59,864.67,968.83,757.47,1.221,1.233,1.142,1.279,0.05,1.221,1.059,1.272,1.417,2.02,1.85,-0.009,ok
gen1,65,Rival,Hop,9,8,6,1.26,939.16,899.83,961.83,717.57,1.309,1.315,1.254,1.34,0.03,1.309,1.182,1.328,1.49,1.98,2.05,0.049,ok
gen1,67,Mystery Figure,Young Athlete F,9,8,6,1.3,968.8,915.67,1038.33,757.47,1.279,1.28,1.209,1.371,0.069,1.279,1.114,1.299,1.582,2.06,1.85,-0.021,ok
allgen,68,Rival,Hop,0,0,2,0.75,295.39,257,326,452.53,0.653,0.667,0.568,0.72,0.065,0.326,0.697,0.653,0.635,4,3.9,-0.097,SOFT
allgen,1,Basic Trainer,Blackbelt,0,0,2,0.8,298.6,278.83,315.5,452.53,0.66,0.664,0.616,0.697,0.031,0.654,0.653,0.674,0.637,4,3.9,-0.14,SOFT
allgen,4,Gym Trainer 1,Hex Maniac,1,0,2,0.85,346.59,318.83,368.5,459.23,0.755,0.762,0.694,0.802,0.039,0.747,0.798,0.755,0.746,4,3.85,-0.095,SOFT
allgen,5,Gym Leader 1,Ryme,1,0,2,0.85,347.97,315.67,367.5,459.23,0.758,0.77,0.687,0.8,0.039,0.752,0.794,0.753,0.774,4,3.85,-0.092,SOFT
allgen,7,Basic Trainer,Veteran,1,1,3,0.85,328.88,309.33,348.33,459.23,0.716,0.719,0.674,0.759,0.037,0.719,0.723,0.729,0.704,4,3.85,-0.134,SOFT
allgen,8,Basic Trainer,Team Aqua Grunt F,1,1,3,0.85,330.81,313.67,349.67,459.23,0.72,0.722,0.683,0.761,0.034,0.716,0.739,0.733,0.694,4,3.85,-0.13,SOFT
allgen,10,Gym Trainer 1,Hex Maniac,2,1,3,0.9,437.93,394.83,483.67,485.31,0.902,0.891,0.814,0.997,0.077,0.897,0.976,0.881,0.943,3.56,3.65,0.002,ok
allgen,11,Gym Leader 2,Morty,2,1,3,0.9,473.9,445,508.5,485.31,0.976,0.98,0.917,1.048,0.053,0.976,1.033,0.953,1.04,3.29,3.65,0.076,ok
allgen,14,Basic Trainer,Bird Keeper,2,2,4,0.9,451.57,410.5,490,485.31,0.93,0.938,0.846,1.01,0.061,0.939,0.97,0.915,0.961,3.3,3.65,0.03,ok
allgen,15,Basic Trainer,Pilot,2,2,4,0.9,454.99,422.5,484.17,485.31,0.938,0.944,0.871,0.998,0.053,0.949,0.972,0.934,0.927,3.28,3.65,0.038,ok
allgen,17,Gym Trainer 1,Cue Ball,3,2,4,0.95,490.15,436.17,536.33,565.61,0.867,0.862,0.771,0.948,0.069,0.872,0.808,0.874,0.896,3.51,3.2,-0.083,SOFT
allgen,18,Gym Leader 3,Chuck,3,2,4,0.95,522.89,495.5,557.5,565.61,0.924,0.921,0.876,0.986,0.042,0.923,0.834,0.942,0.962,3.28,3.2,-0.026,ok
allgen,12,Rival,Hop,3,3,5,0.95,488.24,454.5,522.5,565.61,0.863,0.863,0.804,0.924,0.046,0.863,0.779,0.873,0.923,3.54,3.2,-0.087,SOFT
allgen,20,Basic Trainer,Channeler,3,3,5,0.95,497.04,462,533.17,565.61,0.879,0.887,0.817,0.943,0.057,0.888,0.818,0.883,0.895,3.31,3.2,-0.071,ok
allgen,21,Basic Trainer,Ruin Maniac,3,3,5,0.95,495.75,457.83,536,565.61,0.876,0.877,0.809,0.948,0.054,0.884,0.811,0.891,0.881,3.32,3.2,-0.074,ok
allgen,23,Gym Trainer 1,Triathlete F Swimmer,4,3,5,1,545.08,489.83,593.83,597.95,0.912,0.92,0.819,0.993,0.072,0.913,0.845,0.916,0.996,3.49,2.95,-0.088,SOFT
allgen,24,Gym Leader 4,Crasher Wake,4,3,5,1,584.66,552.33,620.33,597.95,0.978,0.978,0.924,1.037,0.046,0.979,0.89,0.985,1.087,3.22,2.95,-0.022,ok
allgen,26,Basic Trainer,Plasma Grunt F,4,4,6,1,548.48,513,582.5,597.95,0.917,0.921,0.858,0.974,0.048,0.917,0.842,0.934,0.957,3.29,2.95,-0.083,SOFT
allgen,27,Basic Trainer,Crooked Beat,4,4,6,1,554.88,514.83,600,597.95,0.928,0.928,0.861,1.003,0.051,0.928,0.848,0.938,0.989,3.27,2.95,-0.072,ok
allgen,29,Gym Trainer 1,Medium,5,4,6,1.03,590.84,534.17,645.17,625.54,0.945,0.94,0.854,1.031,0.065,0.945,0.897,0.946,1.052,3.47,2.7,-0.085,SOFT
allgen,30,Gym Trainer 2,Psychic F,5,4,6,1.03,585.6,518.33,660.67,625.54,0.936,0.924,0.829,1.056,0.086,0.936,0.888,0.935,1.042,3.46,2.7,-0.094,SOFT
allgen,31,Gym Leader 5,Sabrina,5,4,6,1.03,706.4,679.17,729.67,625.54,1.129,1.132,1.086,1.166,0.037,1.129,1.075,1.131,1.233,2.52,2.7,0.099,HARD
allgen,33,Basic Trainer,Ruin Maniac,5,5,6,1.03,594.32,536.5,635.33,625.54,0.95,0.964,0.858,1.016,0.056,0.95,0.881,0.957,1.06,3.28,2.7,-0.08,ok
allgen,34,Elite Trainer,Volkner,5,5,6,1.03,709.17,671.83,743.67,625.54,1.134,1.133,1.074,1.189,0.045,1.134,1.061,1.123,1.269,2.55,2.7,0.104,HARD
allgen,36,Gym Trainer 1,Triathlete Runner,6,5,6,1.05,776.38,754.67,808.5,711.26,1.092,1.091,1.061,1.137,0.04,1.092,1.02,1.092,1.233,2.2,2.2,0.042,ok
allgen,37,Gym Trainer 2,Reporter,6,5,6,1.05,773.97,752,796.67,711.26,1.088,1.09,1.057,1.12,0.03,1.088,1.026,1.082,1.242,2.24,2.2,0.038,ok
allgen,38,Gym Leader 6,Larry,6,5,6,1.05,781.63,762.67,809.5,711.26,1.099,1.098,1.072,1.138,0.026,1.099,1.013,1.102,1.252,2.21,2.2,0.049,ok
allgen,39,Rival,Hop,6,6,6,1.05,807.78,781.67,838.5,711.26,1.136,1.136,1.099,1.179,0.036,1.136,1.04,1.145,1.277,1.97,2.2,0.086,HARD
allgen,41,Basic Trainer,Team Aqua Grunt F,6,6,6,1.05,763.85,731.33,798.17,711.26,1.074,1.073,1.028,1.122,0.037,1.074,0.968,1.091,1.195,2.12,2.2,0.024,ok
allgen,42,Elite Trainer,Veteran Wallace,6,6,6,1.05,797.07,765.83,833,711.26,1.121,1.118,1.077,1.171,0.039,1.121,1.035,1.115,1.276,2.08,2.2,0.071,ok
allgen,44,Gym Trainer 1,Reactor Tech,7,6,6,1.08,802.68,772.83,835.17,726.36,1.105,1.106,1.064,1.15,0.034,1.105,1.034,1.108,1.27,2.19,2.05,0.025,ok
allgen,45,Gym Trainer 2,Worker,7,6,6,1.08,795.02,766.17,818.67,726.36,1.095,1.099,1.055,1.127,0.035,1.095,1.011,1.101,1.257,2.25,2.05,0.015,ok
allgen,46,Gym Leader 7,Byron,7,6,6,1.08,802.98,782.5,829.83,726.36,1.105,1.103,1.077,1.142,0.028,1.105,1.008,1.123,1.259,2.21,2.05,0.025,ok
allgen,48,Elite Trainer,Hollow Cyrus,7,7,6,1.08,815.46,780.67,850.67,726.36,1.123,1.119,1.075,1.171,0.042,1.123,1.034,1.11,1.316,2.09,2.05,0.043,ok
allgen,49,Elite Trainer,Veteran Koga,7,7,6,1.08,820.99,789.67,866,726.36,1.13,1.125,1.087,1.192,0.038,1.13,1.046,1.145,1.257,2.07,2.05,0.05,ok
allgen,51,Gym Trainer 1,Rocker,8,7,6,1.1,816.38,789.33,842.17,726.36,1.124,1.126,1.087,1.159,0.036,1.124,1.042,1.13,1.283,2.23,2.05,0.024,ok
allgen,52,Gym Trainer 2,Hiker,8,7,6,1.1,806.61,774.83,833,726.36,1.11,1.115,1.067,1.147,0.039,1.11,1.028,1.11,1.291,2.24,2.05,0.01,ok
allgen,53,Gym Leader 8,Grant,8,7,6,1.1,817.39,794,845.83,726.36,1.125,1.126,1.093,1.164,0.03,1.125,1.026,1.139,1.286,2.21,2.05,0.025,ok
allgen,56,Elite Trainer,Eldritch N,8,8,6,1.1,828.98,797.33,864.33,726.36,1.141,1.137,1.098,1.19,0.038,1.141,1.034,1.142,1.304,2.08,2.05,0.041,ok
allgen,57,Elite Trainer,Mars,8,8,6,1.1,827.18,800.5,861,726.36,1.139,1.138,1.102,1.185,0.035,1.139,1.045,1.138,1.322,2.13,2.05,0.039,ok
allgen,58,Elite Trainer,Silent Red,8,8,6,1.1,828.56,798.5,864.5,726.36,1.141,1.139,1.099,1.19,0.039,1.141,1.019,1.159,1.281,2.12,2.05,0.041,ok
allgen,60,E1,Lorelei,9,8,6,1.14,857.81,854.67,858.33,765.17,1.121,1.119,1.117,1.122,0.01,1.121,0.884,1.228,1.154,2.15,1.85,-0.019,ok
allgen,61,E2,Bruno,9,8,6,1.16,841.5,827.33,870.67,765.17,1.1,1.09,1.081,1.138,0.022,1.1,1.061,1.09,1.348,2.48,1.85,-0.06,ok
allgen,62,E3,Flint,9,8,6,1.18,882.97,860.5,917.5,765.17,1.154,1.15,1.125,1.199,0.033,1.154,0.983,1.198,1.318,2.1,1.85,-0.026,ok
allgen,63,E4,Lance,9,8,6,1.2,897.18,889.67,909.17,765.17,1.173,1.168,1.163,1.188,0.014,1.173,1.087,1.139,1.488,2.13,1.85,-0.027,ok
allgen,64,Champion,Prof. Kukui,9,8,6,1.23,943.56,921.5,967.83,765.17,1.233,1.231,1.204,1.265,0.027,1.233,1.11,1.272,1.37,1.95,1.85,0.003,ok
allgen,65,Rival,Hop,9,8,6,1.26,972.59,935.33,1023,726.36,1.339,1.33,1.288,1.408,0.052,1.339,1.225,1.339,1.542,1.98,2.05,0.079,ok
allgen,67,Mystery Figure,Hau,9,8,6,1.3,987.95,926,1050,765.17,1.291,1.3,1.21,1.372,0.081,1.291,1.145,1.309,1.516,1.94,1.85,-0.009,ok
gen1to6,68,Rival,Hop,0,0,2,0.75,297.68,262,324,453.35,0.657,0.671,0.578,0.715,0.056,0.328,0.673,0.658,0.667,4,3.9,-0.093,SOFT
gen1to6,1,Basic Trainer,Swimmer F JPN,0,0,2,0.8,300.98,279,319,453.35,0.664,0.669,0.615,0.704,0.035,0.663,0.657,0.685,0.623,4,3.9,-0.136,SOFT
gen1to6,4,Gym Trainer 1,Hex Maniac,1,0,2,0.85,349.3,320,368,459.78,0.76,0.771,0.696,0.8,0.039,0.751,0.808,0.758,0.75,4,3.85,-0.09,SOFT
gen1to6,5,Gym Leader 1,Ryme,1,0,2,0.85,351.19,327.67,369.17,459.78,0.764,0.776,0.713,0.803,0.037,0.76,0.807,0.754,0.79,4,3.85,-0.086,SOFT
gen1to6,7,Basic Trainer,Smasher,1,1,3,0.85,334.88,316,350.33,459.78,0.728,0.734,0.687,0.762,0.032,0.73,0.751,0.735,0.718,4,3.85,-0.122,SOFT
gen1to6,8,Basic Trainer,Triathlete F Biker,1,1,3,0.85,332.69,311,349.17,459.78,0.724,0.733,0.676,0.759,0.036,0.722,0.753,0.722,0.724,4,3.85,-0.126,SOFT
gen1to6,10,Gym Trainer 1,Channeler,2,1,3,0.9,437.83,397.67,485,485.17,0.902,0.893,0.82,1,0.068,0.892,0.976,0.875,0.965,3.54,3.65,0.002,ok
gen1to6,11,Gym Leader 2,Morty,2,1,3,0.9,473.43,441,502.17,485.17,0.976,0.98,0.909,1.035,0.051,0.985,1.047,0.946,1.055,3.29,3.65,0.076,ok
gen1to6,14,Basic Trainer,Picnicker,2,2,4,0.9,447.65,415,483,485.17,0.923,0.924,0.855,0.996,0.062,0.921,0.951,0.926,0.895,3.3,3.65,0.023,ok
gen1to6,15,Basic Trainer,Cue Ball,2,2,4,0.9,444.28,402.33,482.17,485.17,0.916,0.919,0.829,0.994,0.067,0.927,0.942,0.912,0.915,3.34,3.65,0.016,ok
gen1to6,17,Gym Trainer 1,Battle Girl,3,2,4,0.95,484.25,441.83,535,563.25,0.86,0.849,0.784,0.95,0.06,0.864,0.802,0.865,0.896,3.54,3.2,-0.09,SOFT
gen1to6,18,Gym Leader 3,Chuck,3,2,4,0.95,519.35,491.17,545.17,563.25,0.922,0.924,0.872,0.968,0.042,0.929,0.836,0.938,0.97,3.3,3.2,-0.028,ok
gen1to6,12,Rival,Hop,3,3,5,0.95,490.12,451.5,531.5,563.25,0.87,0.864,0.802,0.944,0.055,0.867,0.792,0.882,0.92,3.51,3.2,-0.08,ok
gen1to6,20,Basic Trainer,Picnicker,3,3,5,0.95,488.85,450.33,532.17,563.25,0.868,0.869,0.8,0.945,0.055,0.876,0.798,0.883,0.886,3.34,3.2,-0.082,SOFT
gen1to6,21,Basic Trainer,Double Team,3,3,5,0.95,498.86,459,530.67,563.25,0.886,0.893,0.815,0.942,0.049,0.896,0.818,0.9,0.888,3.3,3.2,-0.064,ok
gen1to6,23,Gym Trainer 1,Swimmer JPN,4,3,5,1,537.11,491.67,588.17,594.94,0.903,0.893,0.826,0.989,0.068,0.899,0.838,0.911,0.984,3.53,2.95,-0.097,SOFT
gen1to6,24,Gym Leader 4,Crasher Wake,4,3,5,1,585.29,549.33,615.83,594.94,0.984,0.989,0.923,1.035,0.043,0.985,0.903,0.982,1.121,3.21,2.95,-0.016,ok
gen1to6,26,Basic Trainer,Hex Maniac JPN,4,4,6,1,539.72,489.33,584,594.94,0.907,0.909,0.822,0.982,0.06,0.907,0.822,0.933,0.936,3.35,2.95,-0.093,SOFT
gen1to6,27,Basic Trainer,Pilot,4,4,6,1,542.29,496.33,590.5,594.94,0.912,0.919,0.834,0.993,0.06,0.912,0.845,0.929,0.933,3.32,2.95,-0.088,SOFT
gen1to6,29,Gym Trainer 1,Hex Maniac JPN,5,4,6,1.03,588.62,544,644,622.64,0.945,0.937,0.874,1.034,0.062,0.945,0.891,0.957,1.039,3.47,2.7,-0.085,SOFT
gen1to6,30,Gym Trainer 2,Psychic F,5,4,6,1.03,591.86,545,654.67,622.64,0.951,0.933,0.875,1.051,0.074,0.951,0.909,0.954,1.046,3.43,2.7,-0.079,ok
gen1to6,31,Gym Leader 5,Sabrina,5,4,6,1.03,699.05,673.17,728.33,622.64,1.123,1.13,1.081,1.17,0.045,1.123,1.076,1.118,1.244,2.56,2.7,0.093,HARD
gen1to6,33,Basic Trainer,Triathlete Biker,5,5,6,1.03,590.76,541.83,636.67,622.64,0.949,0.953,0.87,1.023,0.055,0.949,0.887,0.964,1.011,3.3,2.7,-0.081,SOFT
gen1to6,34,Elite Trainer,Chili,5,5,6,1.03,694.6,657.33,728,622.64,1.116,1.123,1.056,1.169,0.044,1.116,1.051,1.109,1.25,2.65,2.7,0.086,HARD
gen1to6,36,Gym Trainer 1,Office Worker,6,5,6,1.05,775.09,743,801,708.66,1.094,1.099,1.048,1.13,0.042,1.094,1.014,1.093,1.264,2.21,2.2,0.044,ok
gen1to6,37,Gym Trainer 2,Nursery Aide,6,5,6,1.05,772.49,749.17,795.17,708.66,1.09,1.093,1.057,1.122,0.033,1.09,1.03,1.085,1.251,2.24,2.2,0.04,ok
gen1to6,38,Gym Leader 6,Larry,6,5,6,1.05,780.98,759.83,806.67,708.66,1.102,1.102,1.072,1.138,0.034,1.102,1.011,1.108,1.274,2.2,2.2,0.052,ok
gen1to6,39,Rival,Hop,6,6,6,1.05,807.16,773,849.33,708.66,1.139,1.138,1.091,1.199,0.043,1.139,1.033,1.148,1.307,1.97,2.2,0.089,HARD
gen1to6,41,Basic Trainer,Veteran F,6,6,6,1.05,759.4,730.33,798.67,708.66,1.072,1.066,1.031,1.127,0.044,1.072,0.967,1.087,1.209,2.13,2.2,0.022,ok
gen1to6,42,Elite Trainer,Veteran Wallace,6,6,6,1.05,793.94,763.67,823.33,708.66,1.12,1.119,1.078,1.162,0.037,1.12,1.013,1.132,1.275,2.06,2.2,0.07,ok
gen1to6,44,Gym Trainer 1,Depot Agent,7,6,6,1.08,797.74,770.33,827.17,723.89,1.102,1.1,1.064,1.143,0.033,1.102,1.029,1.11,1.26,2.21,2.05,0.022,ok
gen1to6,45,Gym Trainer 2,Reactor Tech,7,6,6,1.08,795.87,766.83,821.5,723.89,1.099,1.101,1.059,1.135,0.036,1.099,1.018,1.113,1.259,2.23,2.05,0.019,ok
gen1to6,46,Gym Leader 7,Byron,7,6,6,1.08,802.44,782.33,835.33,723.89,1.109,1.105,1.081,1.154,0.034,1.109,1.017,1.125,1.278,2.2,2.05,0.029,ok
gen1to6,48,Elite Trainer,Hollow Cyrus,7,7,6,1.08,815.17,786.83,848.5,723.89,1.126,1.125,1.087,1.172,0.038,1.126,1.029,1.118,1.343,2.09,2.05,0.046,ok
gen1to6,49,Elite Trainer,Veteran Koga,7,7,6,1.08,815.45,791.17,843.5,723.89,1.126,1.124,1.093,1.165,0.028,1.126,1.046,1.137,1.289,2.09,2.05,0.046,ok
gen1to6,51,Gym Trainer 1,Rocker,8,7,6,1.1,812.31,786.33,842.67,723.89,1.122,1.124,1.086,1.164,0.042,1.122,1.034,1.131,1.302,2.22,2.05,0.022,ok
gen1to6,52,Gym Trainer 2,Rocker,8,7,6,1.1,808.28,776.33,838.33,723.89,1.117,1.117,1.072,1.158,0.036,1.117,1.036,1.124,1.29,2.27,2.05,0.017,ok
gen1to6,53,Gym Leader 8,Grant,8,7,6,1.1,817.28,792.33,842.67,723.89,1.129,1.129,1.095,1.164,0.033,1.129,1.024,1.145,1.305,2.21,2.05,0.029,ok
gen1to6,56,Elite Trainer,Eldritch N,8,8,6,1.1,830.49,798.17,866.17,723.89,1.147,1.143,1.103,1.197,0.039,1.147,1.032,1.151,1.337,2.07,2.05,0.047,ok
gen1to6,57,Elite Trainer,Mars,8,8,6,1.1,828.33,800.17,862.17,723.89,1.144,1.142,1.105,1.191,0.033,1.144,1.065,1.136,1.345,2.12,2.05,0.044,ok
gen1to6,58,Elite Trainer,Silent Red,8,8,6,1.1,822.44,793,856.83,723.89,1.136,1.136,1.095,1.184,0.038,1.136,1.022,1.155,1.298,2.08,2.05,0.036,ok
gen1to6,60,E1,Lorelei,9,8,6,1.14,858.06,854.83,862.83,763.06,1.124,1.122,1.12,1.131,0.007,1.124,0.884,1.233,1.179,2.14,1.85,-0.016,ok
gen1to6,61,E2,Bruno,9,8,6,1.16,840.2,827.67,870.83,763.06,1.101,1.091,1.085,1.141,0.022,1.101,1.079,1.087,1.377,2.48,1.85,-0.059,ok
gen1to6,62,E3,Flint,9,8,6,1.18,884.76,863.33,918.33,763.06,1.159,1.154,1.131,1.203,0.029,1.159,0.992,1.191,1.392,2.1,1.85,-0.021,ok
